Waktu,hasil
2023-06-02,28.06213
2023-06-10,27.67895
2023-06-18,27.90025
2023-06-26,28.22348
2023-07-04,28.20544
2023-07-12,28.40889
2023-07-20,28.62493
2023-07-28,28.74631
2023-08-05,28.95068
2023-08-13,29.15749
2023-08-21,29.34427
2023-08-29,29.56616
2023-09-06,29.79379
2023-09-14,30.02407
2023-09-22,30.27399
2023-09-30,30.53344
2023-10-08,30.80301
2023-10-16,31.08805
2023-10-24,31.38542
2023-11-01,31.69608
2023-11-09,32.02195
2023-11-17,32.36234
2023-11-25,32.71808
2023-12-03,33.09011
2023-12-11,33.47865
2023-12-19,33.88438
2023-12-27,34.30804
