Waktu,hasil
2023-05-01,28.4
2023-05-09,28.5
2023-05-17,27.09
2023-05-25,27.31483
2023-06-02,27.10736
2023-06-10,27.12677
2023-06-18,27.06618
2023-06-26,27.04092
2023-07-04,27.00226
2023-07-12,26.96949
2023-07-20,26.93469
2023-07-28,26.90104
2023-08-05,26.86724
2023-08-13,26.83383
2023-08-21,26.80059
2023-08-29,26.76759
2023-09-06,26.7348
2023-09-14,26.70225
2023-09-22,26.66991
2023-09-30,26.63779
2023-10-08,26.60589
2023-10-16,26.5742
2023-10-24,26.54273
2023-11-01,26.51147
2023-11-09,26.48043
2023-11-17,26.44959
2023-11-25,26.41896
2023-12-03,26.38854
2023-12-11,26.35832
2023-12-19,26.32831
2023-12-27,26.2985
